X,Y,NA_08,NA_13
73.77906502,30.82144986,NA-145,NA-145
73.72565572,30.61255482,NA-146,NA-146
73.9379081,30.51390304,NA-147,NA-147
71.66305496,30.14238014,NA-148,NA-148
71.47234277,30.18640154,NA-149,NA-149
71.41966295,30.16997638,NA-150,NA-150
71.50273727,30.26157633,NA-151,NA-151
71.40950229,29.93934121,NA-152,NA-152
71.29217535,29.61709299,NA-153,NA-153
71.6322137,29.65097133,NA-154,NA-154
71.95175769,29.75662704,NA-155,NA-155
71.89100327,30.51299634,NA-156,NA-156
72.05719687,30.39896371,NA-157,NA-157
72.38861332,30.45471687,NA-158,NA-158
72.04857158,30.18387994,NA-159,NA-159
73.31213739,30.69155469,NA-160,NA-160
73.13918681,30.62438743,NA-161,NA-161
72.90413917,30.5520492,NA-162,NA-162
72.63379458,30.4060369,NA-163,NA-163
73.43317954,30.43773584,NA-164,NA-164
73.38538271,30.23433589,NA-165,NA-165
73.09698509,30.26358604,NA-166,NA-166
72.8635648,30.20511408,NA-167,NA-167
72.64783496,30.07302666,NA-168,NA-168
72.35704673,30.04877031,NA-169,NA-169
72.14727235,29.89891067,NA-170,NA-170
70.46785858,30.72384027,NA-171,NA-171
70.26269335,30.00067015,NA-172,NA-172
70.69091329,30.06304974,NA-173,NA-173
70.19021267,29.58178406,NA-174,NA-174
69.9525118,28.98001444,NA-175,NA-175
71.26112651,30.49711767,NA-176,NA-176
70.99257862,30.21745522,NA-177,NA-177
71.11076512,29.98777155,NA-178,NA-178
70.94508274,29.6901388,NA-179,NA-179
70.78800965,29.32040491,NA-180,NA-180
71.36348122,31.02395622,NA-181,NA-181
71.02919188,30.855032,NA-182,NA-182
71.12706179,29.21192509,NA-183,NA-183
71.43904175,29.32471929,NA-184,NA-184
71.86326137,29.44423762,NA-185,NA-185
72.48641947,29.67029687,NA-186,NA-186
71.76126294,28.69670929,NA-187,NA-187
73.58378947,30.11104697,NA-188,NA-188
73.19191481,29.8265503,NA-189,NA-189
72.90749946,29.65259573,NA-190,NA-190
72.85941938,29.19969972,NA-191,NA-191
70.83249926,28.99047949,NA-192,NA-192
70.69245768,28.22574925,NA-193,NA-193
70.50598534,28.76854083,NA-194,NA-194
70.17830229,28.52619043,NA-195,NA-195
70.3488365,28.35087475,NA-196,NA-196
69.9311748,28.24783712,NA-197,NA-197
68.785343,27.752553,NA-198,NA-198
69.19362268,27.4861261,NA-199,NA-199
69.79588307,27.88770182,NA-200,NA-200
69.48970905,27.73930303,NA-201,NA-201
68.67798607,28.03865438,NA-202,NA-202
68.53917622,27.86139186,NA-203,NA-203
68.19022341,27.55609957,NA-204,NA-204
68.0215305,27.36491924,NA-205,NA-205
67.62791171,27.62100324,NA-206,NA-206
68.13127067,27.80119185,NA-207,NA-207
68.32945471,28.17615937,NA-208,NA-208
68.90910739,28.29418013,NA-209,NA-209
69.30572497,28.26112429,NA-210,NA-210
68.04762668,26.73053281,NA-211,NA-211
68.20180436,27.02449871,NA-212,NA-212
68.48857484,26.41209602,NA-213,NA-213
68.12283115,26.30096316,NA-214,NA-214
68.68636909,27.41768972,NA-215,NA-215
69.17934379,26.70547138,NA-216,NA-216
68.46344433,27.46801544,NA-217,NA-217
68.45289841,25.76376773,NA-218,NA-218
68.38963321,25.27071795,NA-219,NA-219
68.35255413,25.41395188,NA-220,NA-220
68.45385922,25.42476666,NA-221,NA-221
68.48504316,25.05650656,NA-222,NA-222
68.77545448,25.46575151,NA-223,NA-223
68.96650986,24.9739678,NA-224,NA-224
68.77214497,24.59196832,NA-225,NA-225
69.13602562,25.51425474,NA-226,NA-226
69.25416645,25.16036551,NA-227,NA-227
69.84785501,25.374023,NA-228,NA-228
69.84243346,24.61733223,NA-229,NA-229
70.57573681,24.97482597,NA-230,NA-230
67.79129801,25.73502849,NA-231,NA-231
67.48353796,26.64333948,NA-232,NA-232
67.51312124,27.14105821,NA-233,NA-233
68.9805139,26.09276853,NA-234,NA-234
69.56281431,25.87474578,NA-235,NA-235
68.59837728,25.97522326,NA-236,NA-236
67.70952774,24.71244455,NA-237,NA-237
68.15629908,24.23621885,NA-238,NA-238
66.84357881,24.91489241,NA-239,NA-239
66.98927796,24.89643836,NA-240,NA-240
66.99189059,24.92761899,NA-241,NA-241
67.00852519,24.96783974,NA-242,NA-242
67.02891643,25.03799328,NA-243,NA-243
67.07478084,24.97876265,NA-244,NA-244
67.04673001,24.95271286,NA-245,NA-245
67.06525984,24.93007764,NA-246,NA-246
67.02237981,24.88150024,NA-247,NA-247
66.94385119,24.83704623,NA-248,NA-248
66.97963121,24.8316901,NA-249,NA-249
67.04585705,24.79978522,NA-250,NA-250
67.06400205,24.83870757,NA-251,NA-251
67.05215,24.86250118,NA-252,NA-252
67.10387993,24.91627501,NA-253,NA-253
67.10784063,24.8096462,NA-254,NA-254
67.17763141,24.84862545,NA-255,NA-255
67.14367803,24.88113692,NA-256,NA-256
67.19085279,24.94377753,NA-257,NA-257
67.29097656,25.15372978,NA-258,NA-258
67.0843261,30.29656699,NA-259,NA-259
63.68719994,29.07079188,NA-260,NA-260
67.30748671,30.72914123,NA-261,NA-261
66.67869941,30.74610477,NA-262,NA-262
69.27323167,30.42331182,NA-263,NA-263
68.77765548,31.22812134,NA-264,NA-264
68.63777521,29.43619041,NA-265,NA-265
68.14741489,28.46545566,NA-266,NA-266
67.65486459,28.96793982,NA-267,NA-267
66.65477083,29.15373472,NA-268,NA-268
66.64691291,27.45989097,NA-269,NA-269
65.83836835,26.04423466,NA-270,NA-270
64.47346391,27.61826189,NA-271,NA-271
63.07763158,25.7850791,NA-272,NA-272
